key,where,placeholders,en,cs
tourCupCompWorld,World Championship detail: tourCupCompWorld,,World Championship,Mistrovství světa
tourCupCompEurope,World Championship detail: tourCupCompEurope,,European Championship,Mistrovství Evropy
tourCupCompSAmerica,World Championship detail: tourCupCompSAmerica,,South America Cup,Pohár Jižní Ameriky
tourCupDestFinals,World Championship detail: tourCupDestFinals,,the finals,finálový turnaj
tourCupDestFinalsPlayoff,World Championship detail: tourCupDestFinalsPlayoff,,the finals play-off,finálovou baráž
tourCupDestIntercontPlayoff,World Championship detail: tourCupDestIntercontPlayoff,,the intercontinental play-off,mezikontinentální baráž
tourCupFinalsDrawnAfterQual,World Championship detail: tourCupFinalsDrawnAfterQual,,The finals are drawn once qualifying ends.,Finálový turnaj se losuje po skončení kvalifikace.
tourCupFinalsDrawSoon,World Championship detail: tourCupFinalsDrawSoon,,Groups to be drawn. Watch the World Championship draw from the hub to reveal them.,Skupiny budou vylosovány. Sledujte los MS z rozcestníku.
tourCupGroupName,World Championship detail: tourCupGroupName,{name},Group {name},Skupina {name}
tourCupGroupNameShort,World Championship detail: tourCupGroupNameShort,{name},Group {name},Skupina {name}
tourCupHostLabel,World Championship detail: tourCupHostLabel,{host},Hosted by {host},Pořádá {host}
tourCupHostLabelMulti,"World Championship detail: hosted by two or more co-hosts, shown as country codes separated by middle dots (e.g. ""USA · CAN · MEX"").",{hosts},Hosted by {hosts},Pořádají {hosts}
tourCupIntercontPlayoff,World Championship detail: tourCupIntercontPlayoff,,Intercontinental play-off,Mezikontinentální baráž
tourCupKnockoutSoon,World Championship detail: tourCupKnockoutSoon,,The bracket begins once the group stage ends.,Pavouk začíná po skončení skupinové fáze.
tourCupMatches,World Championship detail: tourCupMatches,,MATCHES,ZÁPASY
tourCupMedalTable,World Championship detail: tourCupMedalTable,,MEDAL TABLE,MEDAILOVÉ POŘADÍ
tourCupMostTitles,World Championship detail: tourCupMostTitles,,MOST TITLES,NEJVÍCE TITULŮ
tourCupMostTitlesValue,World Championship detail: tourCupMostTitlesValue,{nation} {titles} {editions},{nation}: {titles} titles from {editions} editions,{nation}: {titles} titulů z {editions} ročníků
tourCupNoGoals,World Championship detail: tourCupNoGoals,,No goals yet.,Zatím žádné góly.
tourCupNoGroups,World Championship detail: tourCupNoGroups,,No groups drawn.,Žádné skupiny nebyly vylosovány.
tourCupNoHistory,World Championship detail: tourCupNoHistory,,No history yet.,Zatím žádná historie.
tourCupPastWinners,World Championship detail: tourCupPastWinners,,PAST WINNERS,MINULÍ VÍTĚZOVÉ
tourCupPlayoffIntro,World Championship detail: tourCupPlayoffIntro,,Two World Championship places decided across a knockout of the best qualifying also-rans.,Dvě místa na MS se rozhodnou v play-off nejlepších týmů z kvalifikace.
tourCupQualDrawSoon,World Championship detail: tourCupQualDrawSoon,,Groups to be drawn. Watch the qualifying draw from the hub to reveal them.,Skupiny budou vylosovány. Sledujte los kvalifikace z rozcestníku.
tourCupRegionYours,World Championship detail: tourCupRegionYours,{region},{region} · yours,{region} · vaše
tourCupScorePens,World Championship detail: tourCupScorePens,{home} {away},{home}–{away} (pens),{home}–{away} (pen.)
tourCupSegAllTime,World Championship detail: tourCupSegAllTime,,All-time,Historie
tourCupSegFinals,World Championship detail: tourCupSegFinals,,Finals,Finálový turnaj
tourCupSegQualifying,World Championship detail: tourCupSegQualifying,,Qualifying,Kvalifikace
playerTraitsTitle,What this player is known for — the traits card heading.,,KNOWN FOR,ZNÁMÝ PRO
traitBigGame,Trait name: rises for knockout ties.,,Big-game player,Hráč na velké zápasy
traitBigGameBlurb,Trait effect.,,Raises his game in knockout ties.,Ve vyřazovacích zápasech zvedne svou hru.
traitSetPiece,Trait name: dead-ball delivery.,,Set-piece specialist,Specialista na standardky
traitSetPieceBlurb,Trait effect.,,"Better delivery, and more goals from dead balls.",Lepší centry a více gólů ze standardek.
traitHothead,Trait name: card-prone.,,Hothead,Vznětlivý
traitHotheadBlurb,Trait effect.,,Picks up far more cards than his team-mates.,Sbírá výrazně více karet než spoluhráči.
traitIronMan,Trait name: durable.,,Iron man,Železný muž
traitIronManBlurb,Trait effect.,,Rarely gets hurt and tires more slowly.,Málokdy se zraní a pomaleji se unaví.
traitWonderkid,Trait name: young and improving.,,Wonderkid,Zázračné dítě
traitWonderkidBlurb,Trait effect.,,"Young, already good, and still improving fast.","Mladý, už dobrý a rychle se zlepšuje."
traitLeader,Trait name: captain material.,,Leader,Vůdce
traitLeaderBlurb,Trait effect.,,Lifts every team-mate on the pitch.,Zvedá výkon všech spoluhráčů na hřišti.
traitPacey,Trait name: quick.,,Pacey,Rychlík
traitPaceyBlurb,Trait effect.,,"Blistering pace, a threat in behind.","Extrémní rychlost, hrozba za obranou."
traitOldHead,Trait name: veteran.,,Old head,Zkušený matador
traitOldHeadBlurb,Trait effect.,,A veteran whose reading of the game outlasts his legs.,"Veterán, jehož čtení hry přežilo jeho nohy."
traitWasteful,Trait name: poor finisher.,,Wasteful,Zahazovač
traitWastefulBlurb,Trait effect.,,Puts too many good chances wide.,Zahazuje příliš mnoho dobrých šancí.
objectiveWorldCup,"The World Championship, named as a competition in a board objective.",,World Championship,Mistrovství světa
objectiveWinTournament,"Board objective for the strongest sides: win the tournament. Generic, because the board now sets one for the continental cup as well as the World Championship.",,Win it,Vyhrát turnaj
objectiveQualifyGeneric,Board objective at its lowest bar: just reach the tournament.,,Qualify,Postoupit na turnaj
hubBoardObjectiveFor,Board objective line naming the competition it applies to.,{competition} {label},{competition}: {label},{competition}: {label}
objectiveWinWorldCup,Shared label: objectiveWinWorldCup,,Win the World Championship,Vyhrát mistrovství světa
objectiveReachFinal,"Board objective: reach the final. Generic — the board sets one for the continental cup as well as the World Championship, so it must not name a competition.",,Reach the final,Postoupit do finále
objectiveReachSemis,Shared label: objectiveReachSemis,,Reach the semi-finals,Postoupit do semifinále
objectiveReachQuarters,Shared label: objectiveReachQuarters,,Reach the quarter-finals,Postoupit do čtvrtfinále
objectiveReachKnockouts,Shared label: objectiveReachKnockouts,,Reach the knockout rounds,Postoupit do vyřazovací fáze
objectiveQualify,Shared label: objectiveQualify,,Qualify for the World Championship,Postoupit na mistrovství světa
finishChampions,Shared label: finishChampions,,Champions,Mistři
finishRunnersUp,Shared label: finishRunnersUp,,Runners-up,Finalisté
finishSemiFinals,Shared label: finishSemiFinals,,Semi-finals,Semifinále
finishQuarterFinals,Shared label: finishQuarterFinals,,Quarter-finals,Čtvrtfinále
finishRoundOf16,Shared label: finishRoundOf16,,Round of 16,Osmifinále
finishGroupStage,Shared label: finishGroupStage,,Group stage,Skupinová fáze
finishDidNotQualify,Shared label: finishDidNotQualify,,Did not qualify,Nepostoupili
objectiveAvoidBottom,"The board's lowest bar, for a nation with no realistic route to the finals: come out of the qualifying group off the bottom.",,Avoid finishing bottom in qualifying,Neskončit v kvalifikaci poslední
finishBottomOfQualifyingGroup,Objective result: the nation finished last in its qualifying group.,,Bottom of the qualifying group,Poslední v kvalifikační skupině
objectiveNcWinIt,Nations Cup board objective: lift the trophy.,,Win the Nations Cup,Vyhrát Pohár národů
objectiveNcReachFinal,Nations Cup board objective: reach the final.,,Reach the Nations Cup final,Postoupit do finále Poháru národů
objectiveNcFinalsFour,Nations Cup board objective: win your League A group and reach the Finals Four.,,Reach the Finals Four,Postoupit do Final Four
objectiveNcWinGroup,Nations Cup board objective: win the league group and earn promotion.,,Win your group and go up,Vyhrát skupinu a postoupit výš
objectiveNcTopHalf,Nations Cup board objective: a mid-table league finish.,,Finish in the top half of your group,Skončit v horní polovině skupiny
objectiveNcSurvive,Nations Cup board objective: stay in this league.,,Avoid relegation,Vyhnout se sestupu
finishNcChampions,Nations Cup objective result: won the competition.,,Nations Cup winners,Vítězové Poháru národů
finishNcFinalsFour,Nations Cup objective result: reached the Finals Four.,,Finals Four,Final Four
finishNcGroupWinners,Nations Cup objective result: topped the league group.,,Group winners,Vítězové skupiny
finishNcTopHalf,Nations Cup objective result: a mid-table league finish.,,Top half of the group,Horní polovina skupiny
finishNcStayedUp,Nations Cup objective result: clear of the relegation place.,,Stayed up,Udrželi se
finishNcBottom,Nations Cup objective result: finished last in the league group.,,Bottom of the group,Poslední ve skupině
careerNationsCupLabel,Career-history label for the Nations Cup finish.,,Nations Cup,Pohár národů
squadDevPlayer,Squad-report table header: the player's name.,,PLAYER,HRÁČ
squadDevAge,Squad-report table header: the player's age.,,AGE,VĚK
squadDevPosition,Squad-report table header: the player's position.,,POS,POST
squadDevChange,Squad-report table header: rating and its change over the year.,,RATING,RATING
squadDevNew,Tag on a player in the pool for the first time.,,NEW,NOVÝ
squadDevRetired,Tag on a player who has left the international pool.,,RETIRED,KONEC
squadDevEmpty,Shown when the yearly squad report has no rows.,,A settled year. No changes across the squad.,Klidný rok. V kádru beze změn.
boardObjectivesTitle,"Title of the board-objectives screen, and the hub button opening it.",,Board objectives,Cíle vedení
boardObjectivesConfidence,Label above the board-confidence verdict.,,Board confidence,Důvěra vedení
boardObjectiveBeatenBy,"A settled objective the nation beat, and by how many rounds.","PLURAL — keep the {count, plural, …} skeleton exactly; translate only the words inside the branches","{result}: {rounds, plural, =1{a round better than asked} other{{rounds} rounds better than asked}}","{result}: {rounds, plural, =1{o kolo lepší, než se čekalo} few{o {rounds} kola lepší, než se čekalo} other{o {rounds} kol lepší, než se čekalo}}"
boardObjectiveShortBy,"A settled objective the nation missed, and by how many rounds.","PLURAL — keep the {count, plural, …} skeleton exactly; translate only the words inside the branches","{result}: {rounds, plural, =1{a round short} other{{rounds} rounds short}}","{result}: {rounds, plural, =1{o kolo méně} few{o {rounds} kola méně} other{o {rounds} kol méně}}"
boardObjectivesPending,Status of an objective whose tournament has not finished.,,STILL TO BE DECIDED,JEŠTĚ SE ROZHODNE
boardObjectiveSoFar,"How far the nation has got in a tournament that is still being played, shown against a board objective that cannot be graded yet.",{result},SO FAR · {result},ZATÍM · {result}
boardObjectivesEmpty,Shown when there are no objectives.,,The board has not set an objective for this cycle.,Vedení pro tento cyklus nestanovilo cíl.
tourContBestWinners,Ladder card heading when the contested place is first — fewer berths than groups.,,BEST GROUP WINNERS,NEJLEPŠÍ VÍTĚZOVÉ SKUPIN
tourContBestThirds,Ladder card heading for the best third-placed sides.,,BEST THIRD-PLACED,NEJLEPŠÍ TŘETÍ
tourContBestPlaced,Ladder card heading for a contested position deeper than third.,{position},BEST {position}TH-PLACED,NEJLEPŠÍ NA {position}. MÍSTĚ
squadDevPageOf,Pager line under the squad-report table.,{page} {pages} {total},Page {page} of {pages} · {total} players,Strana {page} z {pages} · {total} hráčů
matchSoldOut,Tag on the ground card when the stadium is full.,,SOLD OUT,VYPRODÁNO
matchAttendanceOf,Crowd figure against stadium capacity.,{attendance} {capacity},{attendance} of {capacity} seats filled,{attendance} z {capacity} míst zaplněno
matchGroundTitle,Heading over the match venue on the pre-match screen.,,VENUE,STADION
absenceInjured,Absence badge: the player has a knock.,,Injured,Zraněn
absenceSuspended,Absence badge: the player is serving a ban.,,Suspended,Stop
absenceWeeks,"How long a player is out for, in weeks.","PLURAL — keep the {count, plural, …} skeleton exactly; translate only the words inside the branches","{count, plural, =1{1 week} other{{count} weeks}}","{count, plural, =1{1 týden} few{{count} týdny} other{{count} týdnů}}"
absenceGames,"How long a player is out for, in matches.","PLURAL — keep the {count, plural, …} skeleton exactly; translate only the words inside the branches","{count, plural, =1{1 game} other{{count} games}}","{count, plural, =1{1 zápas} few{{count} zápasy} other{{count} zápasů}}"
absenceBackFor,The first match the player is available again for.,{opponent},Back for {opponent},Zpět na zápas s {opponent}
penaltyOrderTitle,Title of the sheet naming shootout takers.,,Penalties,Penalty
penaltyOrderBlurb,Explains the shootout order sheet.,,"Name your five takers, in order. Tap a slot to change it.",Určete pět exekutorů v pořadí. Klepnutím pozici změníte.
penaltyOrderPick,Header when choosing who takes a given kick.,{number},Kick {number},{number}. penalta
penaltyOrderPickBlurb,Explains the taker picker.,,Pick who steps up. The bar is their composure from the spot.,"Vyberte, kdo půjde. Pruh ukazuje klid na puntíku."
penaltyOrderConfirm,Confirms the shootout order and starts the kicks.,,Take them,Jdeme na to
penaltyOrderCancel,Returns from the taker picker to the order.,,Back,Zpět
youthTitle,Title of the youth pyramid screen.,,Youth,Mládež
youthEmptyLevel,Shown when a youth level has no players and nobody left it.,,Nobody at this level yet.,Na této úrovni zatím nikdo není.
youthReleased,Heading above the boys let go from a level this year.,,Released this year,Letos uvolněni
u21Title,Title of the youth watchlist screen.,,Under-21s,Do 21 let
u21Blurb,Explains the watchlist and its star ratings.,,"The next generation, best prospect first. Hollow stars are a scout's estimate. Cap a player to find out what he really has.","Nová generace, nejlepší talenty nahoře. Prázdné hvězdy jsou odhad skauta. Teprve start v reprezentaci ukáže pravdu."
u21Empty,Shown when there are no under-21s.,,Nobody under 21 in the pool right now. The next intake arrives with the new cycle.,V kádru teď není nikdo do 21 let. Další ročník přijde s novým cyklem.
u21Breakout,Tag on a young player who has improved sharply.,{gain},+{gain} THIS YEAR,+{gain} ZA ROK
u21AgeCaps,Age and international caps of a prospect.,{age} {caps},Age {age} · {caps} caps,Věk {age} · {caps} startů
u21AgeUncapped,Age of a prospect who has never played.,{age},Age {age} · uncapped,Věk {age} · bez startu
u21CallUps,Button from the watchlist to the squad-selection screen.,,Go to call-ups,Na nominaci
tacticsYouth,Tooltip on the squad screen's youth-watchlist action.,,Under-21s,Do 21 let
pressTitle,Title of the press-question sheet.,,Press conference,Tisková konference
pressCardTitle,Hub card inviting the manager to answer a press question.,,The press are waiting,Čekají novináři
pressCardSub,Hub card subtitle.,,One question. What you say moves the dressing room and the board.,"Jedna otázka. Co řeknete, pocítí kabina i vedení."
pressTheOpposition,Fallback when the opponent is unknown.,,the opposition,soupeř
pressSquad,Label on the dressing-room swing of a press answer.,,Squad,Kabina
pressBoard,Label on the board swing of a press answer.,,Board,Vedení
pressNoEffect,Shown on an answer that moves nothing.,,Nobody reads much into it,Nikdo v tom nic nehledá
pressAskHeavyDefeat,Press question after a heavy defeat.,{opponent},That was a chastening night against {opponent}. What went wrong?,Se soupeřem {opponent} to byl výprask. Co se stalo?
pressAskElimination,Press question after a knockout exit.,{opponent},"Beaten by {opponent}, and the tournament is over. How do you explain it?",Porážka se soupeřem {opponent} a konec turnaje. Jak to vysvětlíte?
pressAskUnderPressure,Press question during a bad run.,,"Three games without a win, and the board are watching. Are you still the right man?",Tři zápasy bez výhry a vedení se dívá. Jste pořád ten pravý?
pressAskPreview,Press question before a finals.,,The tournament starts here. How far does this squad go?,Turnaj začíná. Jak daleko tenhle tým dojde?
pressAskTriumph,Press question after winning a trophy.,,"Champions. Where does this rank, and what comes next?",Mistři. Kam to řadíte a co bude dál?
pressAnswerBackPlayers,Press answer: back the squad.,,These players gave me everything. I would not swap a single one of them.,Tihle hráči mi dali všechno. Nevyměnil bych ani jednoho.
pressAnswerTakeBlame,Press answer: take the blame.,,That one is on me. I picked the side and I set them up.,Tohle jde za mnou. Sestavu jsem vybral já.
pressAnswerDemandMore,Press answer: demand more.,,Not good enough. Some of them have to look at themselves.,Málo. Někteří se musí podívat do zrcadla.
pressAnswerRaiseBar,Press answer: raise the target.,,We are here to win it. Anything less is a failure.,Jsme tu pro vítězství. Cokoli jiného je selhání.
pressAnswerPlayDown,Press answer: say nothing.,,We take it one game at a time. Nothing more to add.,Jdeme zápas od zápasu. Víc k tomu neřeknu.
matchNeutralGround,Tag on the ground card when a tie is played on neutral territory.,,NEUTRAL,NEUTRÁLNÍ
matchExtraTimeAhead,Heading of the interval before extra time begins.,,EXTRA TIME,PRODLOUŽENÍ
matchExtraTimeHalf,Heading of the interval midway through extra time.,,EXTRA TIME · HALF TIME,PRODLOUŽENÍ · POLOČAS
hubEventPressConference,Timeline action: the opening press conference of a tournament.,,Face the press,Předstoupit před novínáře
hubEventPressConferenceSub,Subtitle of the opening press conference action.,,The world’s media want a word before your first match,Světová média chtějí slovo před prvním zápasem
pressAskOpening,Press question at a tournament's opening conference.,{opponent},The tournament is open and you start against {opponent}. What are you telling the country?,Turnaj je zahájen a začínáte proti {opponent}. Co vzkazujete zemi?
squadDevWonderkid,Tag on a newly emerged player the scouts rate very highly.,,WONDERKID,TALENT
tacticsPlaystyle,Heading for the general playing style selector.,,Playing style,Herní styl
tacticsPlaystyleBlurb,Blurb under the playing style selector.,,Pick how the side plays; the dials below fine-tune it.,"Vyberte, jak tým hraje; posuvníky níže styl doladí."
tacticsPlaystyleCustom,Shown when the instructions match no named style.,,Your own settings. No named style matches these dials.,Vlastní nastavení. Žádný pojmenovaný styl neodpovídá.
playstyleCustom,Playing style: hand-set dials.,,Custom,Vlastní
playstyleBalanced,Playing style: nothing overdone.,,Balanced,Vyvážený
playstylePossession,Playing style: keep the ball.,,Possession,Držení míče
playstyleGegenpress,Playing style: press high and hard.,,Gegenpress,Gegenpressing
playstyleCounter,Playing style: sit off and break.,,Counter-attack,Brejky
playstyleDirect,Playing style: get it forward early.,,Direct,Přímočarý
playstyleLowBlock,Playing style: deep and compact.,,Low block,Nízký blok
playstyleWingPlay,Playing style: stretch it and cross.,,Wing play,Hra po křídlech
playstyleBalancedBlurb,Playing style blurb: balanced.,,"Solid in both halves, with nothing overdone.","Pevní v obou polovinách, nic přehnaného."
playstylePossessionBlurb,Playing style blurb: possession.,,"Keep the ball, move it patiently, squeeze the pitch.","Držte míč, trpělivě jej rozehrávejte, stlačte hřiště."
playstyleGegenpressBlurb,Playing style blurb: gegenpress.,,"Win it back the second it is lost, high up the pitch.","Získejte míč hned po ztrátě, vysoko na hřišti."
playstyleCounterBlurb,Playing style blurb: counter.,,"Sit off, stay compact, then break at speed.","Zatáhněte se, buďte kompaktní a vyrážejte rychle."
playstyleDirectBlurb,Playing style blurb: direct.,,Forward early and play for the second ball.,Rychle dopředu a hra na druhé míče.
playstyleLowBlockBlurb,Playing style blurb: low block.,,"Deep, narrow and very hard to break down.","Hluboko, úzce a téměř neprostupně."
playstyleWingPlayBlurb,Playing style blurb: wing play.,,"Stretch the pitch, get round the outside and cross.","Roztáhněte hřiště, obejděte to po stranách a centrujte."
nationsRandomTeam,Nation-select action: let the game pick which country you manage.,,Random team,Náhodný tým
nationsFromTheBottom,Nation-select action: start unemployed and take an offer from one of the world's weakest sides.,,From the bottom,Od úplného dna
bottomStartTitle,Title of the unemployed-start screen.,,Out of work,Bez angažmá
bottomStartHeading,Heading on the unemployed-start screen.,,Three federations want to talk,Tři federace mají zájem
bottomStartBlurb,Blurb explaining the from-the-bottom start.,,You have no job and no reputation. These are the only sides willing to take a chance on you. Take one and build something from nothing.,"Nemáte práci ani jméno. Tohle jsou jediní, kdo do vás půjde. Vezměte jednu z nabídek a vybudujte něco z ničeho."
bottomStartAccept,Button on an offer card: accept this job.,,Take it,Beru
bottomStartBack,Button that leaves the offers without taking a job.,,Back to menu,Zpět do nabídky
bottomStartRankOf,Where an offering nation sits in the world ranking.,{rank} {total},{rank} of {total} in the world,{rank}. z {total} na světě
campTitle,Title of the training camp selection screen.,,Base camp,Základní tábor
campBasedIn,Heading naming the host country the camp is in.,{host},Based in {host},Sídlo v zemi {host}
campBlurb,Blurb on the base camp screen.,,"Where the squad lives for the whole tournament. It cannot be changed once play starts, and it works on three things every match: how fresh they arrive, how fast a knock heals, and how sharp they are.","Kde tým bydlí po celý turnaj. Po začátku už to nejde změnit a působí to na tři věci v každém zápase: jak svěží přijedou, jak rychle se hojí zranění a jak jsou sehraní."
campEffectTravel,Camp effect chip: travel wear on the squad.,,Arrive fresh,Svěžest na zápas
campEffectRecovery,Camp effect chip: how fast injuries clear.,,Injuries heal,Hojení zranění
campEffectSharpness,Camp effect chip: flat condition lift.,,Match sharpness,Sehranost
campTerrainCity,Camp terrain: in the host's biggest city.,,City centre,Centrum města
campTerrainCoastal,Camp terrain: by the sea.,,Coastal resort,Letovisko u moře
campTerrainMountain,Camp terrain: up in the hills.,,Mountain retreat,Horské útočiště
campTerrainAltitude,Camp terrain: high above sea level.,,Altitude camp,Výškový kemp
campTerrainNationalCentre,Camp terrain: a purpose-built training centre.,,National centre,Národní centrum
campTerrainCityBlurb,Camp terrain blurb: city centre.,,"Everything on the doorstep and nothing to travel to, but no peace and no escape from the noise.","Vše po ruce a nikam se necestuje, ale žádný klid a žádný únik před ruchem."
campTerrainCoastalBlurb,Camp terrain blurb: coastal.,,"Calm, comfortable and good for the mood; a long coach ride to every ground.","Klid, pohodlí a dobrá nálada; ke každému stadionu dlouhá cesta autobusem."
campTerrainMountainBlurb,Camp terrain blurb: mountain.,,"Cool air and a first-rate medical set-up that turns knocks round quickly, a long way from the tournament.","Chladný vzduch a špičkové zdravotní zázemí, které rychle vyřeší zranění, ale daleko od turnaje."
campTerrainAltitudeBlurb,Camp terrain blurb: altitude.,,"Hard work to train in, and legs that last deep into the tournament.","Náročné tréninky a nohy, které vydrží až do konce turnaje."
campTerrainNationalCentreBlurb,Camp terrain blurb: national centre.,,"The federation's own facilities: nothing spectacular, nothing to go wrong.","Vlastní zázemí federace: nic okázalého, nic, co by se pokazilo."
hubEventChooseCamp,Timeline action: pick the squad's tournament base.,,Choose the base camp,Vybrat základní tábor
hubEventChooseCampSub,Subtitle of the base camp action.,{host},Where the squad will be based in {host},Kde bude tým sídlit v zemi {host}
tacticsTabBench,Tab: the named squad outside the starting XI.,,Bench,Lavička
squadSearchHint,Placeholder in the squad pool search field.,,Search by name or club,Hledat podle jména nebo klubu
squadFilterAll,Squad filter: the whole pool.,,Everyone,Všichni
squadFilterInSquad,Squad filter: only called-up players.,,In the squad,V nominaci
squadFilterUncapped,Squad filter: players yet to win a cap.,,Uncapped,Bez startu
squadFilterUnavailable,Squad filter: injured or suspended players.,,Unavailable,Nedostupní
squadLineAll,Position filter: no line selected.,,All lines,Všechny řady
squadSortBy,Label before the squad sort options.,,Sort,Řadit
squadSortRating,Squad sort: by overall rating.,,Rating,Hodnocení
squadSortCaps,Squad sort: by international appearances.,,Caps,Starty
squadSortGoals,Squad sort: by international goals.,,Goals,Góly
squadSortAge,Squad sort: youngest first.,,Age,Věk
squadSortName,Squad sort: alphabetical.,,Name,Jméno
squadShowingOf,Count of the filtered squad list.,{shown} {total},Showing {shown} of {total} players,Zobrazeno {shown} z {total} hráčů
squadNobodyMatches,Empty state for the filtered squad list.,,Nobody in the pool matches those filters.,Danému filtru neodpovídá nikdo.
squadStatPool,Squad stat: how many players are eligible.,,Pool,Kádr
squadStatInSquad,Squad stat: how many are in the current squad.,,Called up,Nominováno
squadMostCapped,Label for the pool's most-capped player.,,Most capped,Nejvíc startů
squadTopScorer,Label for the pool's leading scorer.,,Top scorer,Nejlepší střelec
squadCapsValue,Most-capped player and their tally.,{name} {caps},{name} · {caps} caps,{name} · {caps} startů
squadGoalsValue,Leading scorer and their tally.,{name} {goals},{name} · {goals} goals,{name} · {goals} gólů
squadAgeClub,A squad row's age and club line.,{age} {club},{age} · {club},{age} · {club}
squadCapsShort,Column heading: international appearances.,,Caps,Star
squadGoalsShort,Column heading: international goals.,,Gls,Gól
pressAskHeavyDefeat2,Press conference line.,{opponent},Four goals conceded against {opponent}. Where does a night like that leave you?,Čtyři inkasované se soupeřem {opponent}. Kde vás takový večer nechává?
pressAskHeavyDefeat3,Press conference line.,{opponent},{opponent} took you apart. Is this squad good enough?,{opponent} vás rozebral. Je tenhle tým dost dobrý?
pressAskElimination2,Press conference line.,{opponent},"{opponent} end it. Four years of work, gone in ninety minutes. Talk us through it.",{opponent} to ukončil. Čtyři roky práce pryč za devadesát minut. Vysvětlete nám to.
pressAskElimination3,Press conference line.,{opponent},Out to {opponent}. Was that as far as this team was ever going?,Konec se soupeřem {opponent}. Bylo tohle maximum tohohle týmu?
pressAskUnderPressure2,Press conference line.,,The results have dried up and your name is in every column. Worried?,Výsledky nejsou a vaše jméno je ve všech sloupcích. Máte obavy?
pressAskUnderPressure3,Press conference line.,,"No wins, no goals, no answers. What do you say to the supporters?","Žádné výhry, žádné góly, žádné odpovědi. Co vzkážete fanouškům?"
pressAskPreview2,Press conference line.,,Everyone wants a prediction. Give us yours.,Všichni chtějí tip. Dejte nám ten svůj.
pressAskPreview3,Press conference line.,,"Realistically: group stage, quarters, or more than that?","Realisticky: skupina, čtvrtfinále, nebo víc?"
pressAskOpening2,Press conference line.,{opponent},The whole country is watching and {opponent} are first up. Your message?,Sleduje vás celá země a prvním soupeřem je {opponent}. Co vzkazujete?
pressAskOpening3,Press conference line.,{opponent},It starts against {opponent}. How do you want this side to be remembered?,"Začíná se proti {opponent}. Jak si přejete, aby si tenhle tým zapamatovali?"
pressAskTriumph2,Press conference line.,,"You've won it. Does it feel like the end of something, or the start?","Máte to. Je to konec něčeho, nebo začátek?"
pressAskTriumph3,Press conference line.,,Champions at last. Who does this one belong to?,Konečně mistři. Komu tenhle titul patří?
pressAskBigWin,Press conference line.,{opponent},Three clear against {opponent}. Is this side finally clicking?,O tři čisté se soupeřem {opponent}. Začíná to tomuhle týmu konečně sedat?
pressAskBigWin2,Press conference line.,{opponent},You took {opponent} apart. How good was that?,Rozebrali jste {opponent}. Jak dobré to bylo?
pressAskBigWin3,Press conference line.,{opponent},A statement result against {opponent}. Should the rest of them be worried?,"Výsledek jako vzkaz soupeřům, {opponent} to odnesl. Mají se ostatní bát?"
pressAskQualified,Press conference line.,,You're through. What does qualifying mean to this group?,Jste tam. Co postup pro tuhle partu znamená?
pressAskQualified2,Press conference line.,,"The place is booked. Job done, or is the job just starting?","Místo je zajištěné. Hotovo, nebo práce teprve začíná?"
pressAskQualified3,Press conference line.,,Qualification secured. Now what is this squad actually capable of?,Postup je doma. Na co tenhle tým doopravdy má?
pressAskMissedOut,Press conference line.,,No tournament this time. How did it come to this?,Tentokrát bez turnaje. Jak k tomu došlo?
pressAskMissedOut3,Press conference line.,,Watching it on television. What do you say to a country that expected better?,"Budete se dívat v televizi. Co řeknete zemi, která čekala víc?"
pressAskMissedOut2,Press conference line.,,The campaign is over and you're not in it. Who is accountable?,Kvalifikace skončila a vy u toho nejste. Kdo za to nese odpovědnost?
pressAskUnbeaten,Press conference line.,,Unbeaten for months now. How long can this go on?,Měsíce bez porážky. Jak dlouho to může vydržet?
pressAskUnbeaten2,Press conference line.,,Nobody has laid a glove on you all season. What's behind the run?,Celou sezonu na vás nikdo nevyzrál. Čím to je?
pressAskUnbeaten3,Press conference line.,,The run keeps going. Is this the best side you've had?,"Série pokračuje. Je tohle nejlepší tým, jaký jste měl?"
pressAskNewJob,Press conference line.,,Day one. What are you promising this country?,První den. Co téhle zemi slibujete?
pressAskNewJob2,Press conference line.,,"New job, new squad. What changes first?","Nová práce, nový kádr. Co se změní jako první?"
pressAskNewJob3,Press conference line.,,"You've taken the job. Why this one, and why now?",Vzal jste to. Proč zrovna tady a proč teď?
pressAskRankingPeak,Press conference line.,,A record world ranking. Does the table flatter this team?,Rekordní postavení v žebříčku. Nelichotí tabulka tomuhle týmu?
pressAskRankingPeak2,Press conference line.,,Never been ranked this high. Is this side genuinely among the best?,Nikdy jste nebyli výš. Patří tenhle tým opravdu ke špičce?
pressAskRankingPeak3,Press conference line.,,Top of the pile on paper. Does that put a target on your back?,Na papíře nejvýš. Máte tím pádem terč na zádech?
pressAnswerBackPlayers2,Press conference line.,,Nobody works harder than this group. I'll defend them all day.,Nikdo nemaká víc než tahle parta. Budu je bránit pořád.
pressAnswerBackPlayers3,Press conference line.,,You won't hear a word against my players from this seat.,Ode mě na svoje hráče křivé slovo neuslyšíte.
pressAnswerTakeBlame2,Press conference line.,,"Judge me, not them. It's my team and my responsibility.","Suďte mě, ne je. Je to můj tým a moje zodpovědnost."
pressAnswerTakeBlame3,Press conference line.,,"If you want somebody to blame, I'm sitting right here.","Jestli hledáte viníka, sedí přímo tady."
